wbid,wbtype,uid,batch
4178129922536794,comment,5193539803,2
4178129922536794,comment,2524358757,2
4178129922536794,comment,2022733223,2
4188289948464053,comment,2719112087,2
4188289948464053,comment,5566954139,2
4188289948464053,comment,1220407074,2
4188289948464053,comment,2719112087,2
4188289948464053,comment,1220407074,2
4188289948464053,comment,6027905180,2
4188289948464053,comment,5566954139,2
4194562890894482,comment,2147457735,2
4194562890894482,comment,2147457735,2
4194562890894482,comment,1220407074,2
4194562890894482,comment,5512130313,2
4194562890894482,comment,2147457735,2
4171050771837810,comment,1950946921,2
4171050771837810,comment,1220407074,2
4171050771837810,comment,1220407074,2
4171050771837810,comment,6027905180,2
4171050771837810,comment,1950946921,2
