wbid,uid,batch
4168003266655097,5175655487,1
4186363550672968,5175655487,1
4159181923371433,5175655487,1
4183989658869332,5175655487,1
4185417207344348,5175655487,1
4191401865992172,5175655487,1
4167161931158429,5175655487,1
4197210897803163,5175655487,1
4202118296927474,5175655487,1
4184141853265754,5175655487,1
4169310916542759,5175655487,1
4188320646683179,5175655487,1
4177256479774074,5175655487,1
4185751296511744,5175655487,1
4202151560872178,5175655487,1
4187925941874667,5175655487,1
4195165374239092,5175655487,1
4185947023568814,5175655487,1
4189042167527312,5175655487,1
4197681674941553,5175655487,1
4188110511694192,5175655487,1
4202170733332474,5175655487,1
4188111388995270,5175655487,1
4200928141698644,5175655487,1
4176322961593890,5175655487,1
4201582180783925,5175655487,1
4185365630317561,5175655487,1
4192603467415928,5175655487,1
4182016927409883,5175655487,1
4169088852716080,5175655487,1
4184140192213576,5175655487,1
4176257187081709,5175655487,1
4184270190839767,5175655487,1
4190681499657345,5175655487,1
4188318067721653,5175655487,1
4202386103005605,5175655487,1
4186472221676429,5175655487,1
4192360500458213,5175655487,1
4192491592538982,5175655487,1
4178755255602762,5175655487,1
4160989362348005,5175655487,1
4174799288922768,5175655487,1
4189210544458157,5175655487,1
4177430698717866,5175655487,1
4188368605025009,5175655487,1
4181742325425444,5175655487,1
4184216629240464,5175655487,1
4188160562416280,5175655487,1
4180211430350774,5175655487,1
4195883098763048,5175655487,1
4168930253887684,5175655487,1
4188316171268102,5175655487,1
4182679241168534,5175655487,1
4203034420784922,5175655487,1
4191775214369060,5175655487,1
4167632099812729,5175655487,1
4202137108076349,5175655487,1
4192122657192805,5175655487,1
4188319404923119,5175655487,1
4192298332421391,5175655487,1
4168929414763577,5175655487,1
4175638367405209,5175655487,1
4172579809367408,5175655487,1
4188636415377177,5175655487,1
4170028171399131,5175655487,1
4190400455609113,5175655487,1
4192343411882662,5175655487,1
4191191949686517,5175655487,1
4203029517054729,5175655487,1
4189266776531606,5175655487,1
4164373398458490,5175655487,1
4196277019506645,5175655487,1
4200815520175325,5175655487,1
4201049566412930,5175655487,1
4178153670366618,5175655487,1
4178770699178541,5175655487,1
4178748109143346,5175655487,1
4171946771993583,5175655487,1
4176923972563717,5175655487,1
4188321996928562,5175655487,1
4179813155131542,5175655487,1
4190842312611190,5175655487,1
4176271325419924,5175655487,1
4178771160011415,5175655487,1
4178489017718570,5175655487,1
4168007691158790,5175655487,1
4188102354183704,5175655487,1
4201624153017741,5175655487,1
4196623162966141,5175655487,1
4190463839421686,5175655487,1
4188322093404776,5175655487,1
4184669890714246,5175655487,1
4189063163977781,5175655487,1
4186755214883265,5175655487,1
4172691398883687,5175655487,1
4179121451432994,5175655487,1
4189202188500806,5175655487,1
4172730981122834,5175655487,1
4198817395766550,5175655487,1
4183811702956313,5175655487,1
4203137722681808,5175655487,1
4171586057424290,5175655487,1
4176209103966248,5175655487,1
4187373011108243,5175655487,1
4195569151139137,5175655487,1
4170752997304254,5175655487,1
4165601285308437,5175655487,1
4172753537450822,5175655487,1
4190841662109451,5175655487,1
4183927239824354,5175655487,1
4182079996209214,5175655487,1
4161541634487983,5175655487,1
4200821933846263,5175655487,1
4164640495695145,5175655487,1
4167609701979296,5175655487,1
4199762381142591,5175655487,1
4191597149156810,5175655487,1
4168902851698784,5175655487,1
4195886760126504,5175655487,1
4193996466565575,5175655487,1
